Kick.Category,Name,Score,ClutchScore,scaled
< 20,Adam Vinatieri,0.9663107761969933,0,-0.34412466966719696
< 20,Aldrick Rosas,0.9663107761969933,0,-0.34412466966719696
< 20,Austin Seibert,0.9663107761969933,0,-0.34412466966719696
< 20,Brandon McManus,0.9663107761969933,0,-0.34412466966719696
< 20,Brett Maher,0.9663107761969933,0,-0.34412466966719696
< 20,Cairo Santos,0.9679006934165955,0.0015899172196021105,-0.12164183183454766
< 20,Chris Boswell,0.9663107761969933,0,-0.34412466966719696
< 20,Cody Parkey,0.9663107761969933,0,-0.34412466966719696
< 20,Dan Bailey,0.9663107761969933,0,-0.34412466966719696
< 20,Daniel Carlson,0.9663107761969933,0,-0.34412466966719696
< 20,Dustin Hopkins,0.9663107761969933,0,-0.34412466966719696
< 20,Graham Gano,0.9663107761969933,0,-0.34412466966719696
< 20,Greg Zuerlein,0.9663107761969933,0,-0.34412466966719696
< 20,Harrison Butker,0.9831433892250061,0.016832613028012755,2.01132344325299
< 20,Jake Elliott,0.9663107761969933,0,-0.34412466966719696
< 20,Jason Myers,0.9663107761969933,0,-0.34412466966719696
< 20,Jason Sanders,0.9847536087036133,0.018442832506619933,2.2366472492455984
< 20,Joey Slye,0.9663107761969933,0,-0.34412466966719696
< 20,Josh Lambo,0.9663107761969933,0,-0.34412466966719696
< 20,Justin Tucker,0.9663107761969933,0,-0.34412466966719696
< 20,Ka'imi Fairbairn,0.9619990587234497,-0.0043117174735436414,-0.9474788113920589
< 20,Mason Crosby,0.9710228145122528,0.004712038315259459,0.3152478079876193
< 20,Matt Bryant,0.9663107761969933,0,-0.34412466966719696
< 20,Matt Gay,0.9663107761969933,0,-0.34412466966719696
< 20,Matt Prater,0.9663107761969933,0,-0.34412466966719696
< 20,Michael Badgley,0.9663107761969933,0,-0.34412466966719696
< 20,Nick Folk,0.958857536315918,-0.00745323988107538,-1.3870833466001447
< 20,Randy Bullock,0.9663107761969933,0,-0.34412466966719696
< 20,Robbie Gould,0.9663107761969933,0,-0.34412466966719696
< 20,Rodrigo Blankenship,0.9663107761969933,0,-0.34412466966719696
< 20,Ryan Succop,0.9821028709411621,0.01579209474416876,1.865719975504962
< 20,Sam Ficken,0.9663107761969933,0,-0.34412466966719696
< 20,Stephen Gostkowski,0.9663107761969933,0,-0.34412466966719696
< 20,Stephen Hauschka,0.9663107761969933,0,-0.34412466966719696
< 20,Tyler Bass,0.9889992475509644,0.022688471353971007,2.8307547710243703
< 20,Wil Lutz,0.9914673566818237,0.025156580484830382,3.1761261631599225
< 20,Younghoe Koo,0.9663107761969933,0,-0.34412466966719696
< 20,Zane Gonzalez,0.9663107761969933,0,-0.34412466966719696
20-29,Adam Vinatieri,0.9610169132550558,0.005098773742634122,0.20970626762312386
20-29,Aldrick Rosas,0.9664924224217732,0.010574282909351584,0.87354293748288
20-29,Austin Seibert,0.9600916981697083,0.004173558657286636,0.09753556669645738
20-29,Brandon McManus,0.9499614499509335,-0.005956689561488204,-1.1306297121201088
20-29,Brett Maher,0.9625721197379263,0.006653980225504674,0.39825550772091944
20-29,Cairo Santos,0.9554162800312043,-5.018594812173927e-4,-0.46930012159571904
20-29,Chris Boswell,0.9582419269963315,0.0023237874839098227,-0.12672594001437584
20-29,Cody Parkey,0.9707856595516204,0.014867520039198778,1.3940439817546373
20-29,Dan Bailey,0.9586514383554459,0.002733298843024201,-0.07707783449084818
20-29,Daniel Carlson,0.9599118254802845,0.00399368596786287,0.07572826375710827
20-29,Dustin Hopkins,0.9465236994955275,-0.009394440016894157,-1.5474137489357491
20-29,Graham Gano,0.9797809223333994,0.023862782820977757,2.484606540916487
20-29,Greg Zuerlein,0.9706452865349618,0.014727147022540188,1.3770255177032529
20-29,Harrison Butker,0.967718346118927,0.011800206606505381,1.0221707782629572
20-29,Jake Elliott,0.962338961660862,0.006420822148440308,0.3699880212248458
20-29,Jason Myers,0.9455695477398959,-0.010348591772525784,-1.6630926574561524
20-29,Jason Sanders,0.9545813673420956,-0.0013367721703260171,-0.5705227919056275
20-29,Joey Slye,0.9571394835199628,0.0012213440075411475,-0.2603833559328172
20-29,Josh Lambo,0.9592179616292318,0.003299822116810125,-0.008394007650767882
20-29,Justin Tucker,0.9634976318249335,0.007579492312511871,0.5104622163660869
20-29,Ka'imi Fairbairn,0.9536549837692924,-0.002263155743129297,-0.682835157250672
20-29,Mason Crosby,0.9642890776906695,0.008370938178247855,0.6064150806363182
20-29,Matt Bryant,0.944796371459961,-0.011121768052460679,-1.7568305640615092
20-29,Matt Gay,0.9468919975417001,-0.009026141970721602,-1.5027622396344482
20-29,Matt Prater,0.9659164029618968,0.009998263449475187,0.8037078174280998
20-29,Michael Badgley,0.9485158994793892,-0.00740224003303247,-1.3058845390094638
20-29,Nick Folk,0.9730183124542237,0.017100172941801994,1.6647250860482419
20-29,Randy Bullock,0.9534947946667671,-0.0024233448456545403,-0.7022560726633533
20-29,Robbie Gould,0.9604530836406507,0.004534944128229079,0.1413490131288648
20-29,Rodrigo Blankenship,0.9687750471962823,0.012856907683860608,1.1502825031948767
20-29,Ryan Succop,0.9498504479726155,-0.00606769153980613,-1.1440873069100728
20-29,Sam Ficken,0.9593851466973623,0.0034670071849406403,0.01187508066573873
20-29,Stephen Gostkowski,0.9622766137123108,0.006358474199889108,0.36242911605664785
20-29,Stephen Hauschka,0.9656468828519186,0.009728743339496915,0.7710318914419378
20-29,Tyler Bass,0.9473609566688538,-0.008557182843567879,-1.4459068393801016
