Kick_Category,Score,Median,Std
< 25,0.9739780269059423,0.9760322570800781,0.012727530789481013
25-29,0.9481445620631614,0.9505221247673035,0.02232073507819344
30-39,0.8718203154821245,0.880838930606842,0.05423759817901935
40-49,0.6912391679979236,0.6944757699966431,0.08382702092581643
50+,0.5292031355298459,0.5255666971206665,0.07522015944321575
