Score_Category,Name,Score,KER
< -3 ,Adam Vinatieri,0.7206572549683707,-0.05650724372911797
< -3 ,Aldrick Rosas,0.8316808986663818,0.054516399968893126
< -3 ,Austin Seibert,0.7705077528953552,-0.00665674580213349
< -3 ,Brandon McManus,0.7745468179384868,-0.002617680759001928
< -3 ,Brett Maher,0.7692520530784831,-0.007912445619005615
< -3 ,Cairo Santos,0.8141580798796245,0.036993581182135804
< -3 ,Chris Boswell,0.8034559505827287,0.026291451885239958
< -3 ,Cody Parkey,0.7861678004264832,0.00900330172899444
< -3 ,Dan Bailey,0.8381463166545419,0.06098181795705315
< -3 ,Daniel Carlson,0.8188638297411112,0.041699331043622445
< -3 ,Dustin Hopkins,0.7956868200688749,0.018522321371386208
< -3 ,Graham Gano,0.8138638069996467,0.03669930830215795
< -3 ,Greg Zuerlein,0.755365946076133,-0.02179855262135566
< -3 ,Harrison Butker,0.7868303060531616,0.009665807355672906
< -3 ,Jake Elliott,0.7866186797618866,0.009454181064397882
< -3 ,Jason Myers,0.7537475173120145,-0.02341698138547421
< -3 ,Jason Sanders,0.7613573772342581,-0.0158071214632306
< -3 ,Joey Slye,0.7639536983088443,-0.013210800388644417
< -3 ,Josh Lambo,0.7963321030139923,0.01916760431650355
< -3 ,Justin Tucker,0.820814235643907,0.04364973694641827
< -3 ,Ka'imi Fairbairn,0.8075846862047911,0.030420187507302354
< -3 ,Mason Crosby,0.7826227882634038,0.005458289565915098
< -3 ,Matt Bryant,0.699853785832723,-0.07731071286476576
< -3 ,Matt Gay,0.7265052361921831,-0.05065926250530561
< -3 ,Matt Prater,0.7806858031646066,0.0035213044671178473
< -3 ,Michael Badgley,0.8327949174812862,0.055630418783797486
< -3 ,Nick Folk,0.8777488189585069,0.10058432026101816
< -3 ,Randy Bullock,0.7737491254148812,-0.003415373282607548
< -3 ,Robbie Gould,0.8578741451104482,0.08070964641295952
< -3 ,Rodrigo Blankenship,0.8422112067540487,0.06504670805655999
< -3 ,Ryan Succop,0.8171469286868447,0.03998242998935597
< -3 ,Sam Ficken,0.7103150316647121,-0.06684946703277661
< -3 ,Stephen Gostkowski,0.7531804740428925,-0.02398402465459626
< -3 ,Stephen Hauschka,0.7549778938293457,-0.022186604868143056
< -3 ,Tyler Bass,0.707689106464386,-0.06947539223310273
< -3 ,Wil Lutz,0.7296149150321358,-0.04754958366535289
< -3 ,Younghoe Koo,0.8078709223440715,0.030706423646582826
< -3 ,Zane Gonzalez,0.7864687231679758,0.009304224470487066
-3 - 3,Adam Vinatieri,0.7674297406559899,-0.018356408536837177
-3 - 3,Aldrick Rosas,0.890804898738861,0.10501874954603396
-3 - 3,Austin Seibert,0.7689881080930884,-0.016798041099738703
-3 - 3,Brandon McManus,0.7992572466532389,0.013471097460411863
-3 - 3,Brett Maher,0.7849767855529127,-0.0008093636399143511
-3 - 3,Cairo Santos,0.7811434645401804,-0.0046426846526467225
-3 - 3,Chris Boswell,0.8879552812411867,0.10216913204835965
-3 - 3,Cody Parkey,0.8092962404092153,0.02351009121638825
-3 - 3,Dan Bailey,0.8024631999433041,0.016677050750476985
-3 - 3,Daniel Carlson,0.8374375529361494,0.05165140374332233
-3 - 3,Dustin Hopkins,0.813464672477157,0.02767852328432996
-3 - 3,Graham Gano,0.8117247577756643,0.025938608582837253
-3 - 3,Greg Zuerlein,0.7578146030957048,-0.02797154609712227
-3 - 3,Harrison Butker,0.8195260390639305,0.033739889871103435
-3 - 3,Jake Elliott,0.8253326627515978,0.0395465135587707
-3 - 3,Jason Myers,0.7969306317659525,0.011144482573125392
-3 - 3,Jason Sanders,0.7463480615615845,-0.03943808763124257
-3 - 3,Joey Slye,0.591429489850998,-0.1943566593418291
-3 - 3,Josh Lambo,0.8324839501153856,0.046697800922558486
-3 - 3,Justin Tucker,0.8002736713997153,0.014487522206888204
-3 - 3,Ka'imi Fairbairn,0.7787269926988162,-0.007059156494010899
-3 - 3,Mason Crosby,0.8039811920552027,0.01819504286237561
-3 - 3,Matt Bryant,0.6989545892266666,-0.08683155996616043
-3 - 3,Matt Gay,0.7741642410938556,-0.011621908098971456
-3 - 3,Matt Prater,0.7951719982283456,0.009385849035518534
-3 - 3,Michael Badgley,0.7427204583699887,-0.0430656908228384
-3 - 3,Nick Folk,0.7492769019944328,-0.03650924719839432
-3 - 3,Randy Bullock,0.7708812941764963,-0.014904855016330765
-3 - 3,Robbie Gould,0.7949275140826767,0.009141364889849624
-3 - 3,Rodrigo Blankenship,0.8634515139791701,0.077665364786343
-3 - 3,Ryan Succop,0.8264678210020066,0.040681671809179476
-3 - 3,Sam Ficken,0.8063563376665115,0.020570188473684414
-3 - 3,Stephen Gostkowski,0.7889066362380981,0.0031204870452710143
-3 - 3,Stephen Hauschka,0.7972826626565721,0.011496513463745028
-3 - 3,Tyler Bass,0.7587917670607567,-0.026994382132070394
-3 - 3,Wil Lutz,0.8349379381028618,0.04915178891003469
-3 - 3,Younghoe Koo,0.8089497495781292,0.023163600385302074
-3 - 3,Zane Gonzalez,0.757795358246023,-0.027990790946804123
> 3,Adam Vinatieri,0.8265553861856461,0.03391249190565859
> 3,Aldrick Rosas,0.8064105580834782,0.013767663803490704
> 3,Austin Seibert,0.7080203917893496,-0.08462250249063785
> 3,Brandon McManus,0.7117526720870625,-0.08089022219292497
> 3,Brett Maher,0.7821916214057377,-0.01045127287424974
> 3,Cairo Santos,0.8199172738720389,0.02727437959205148
> 3,Chris Boswell,0.8165207616984844,0.023877867418496956
> 3,Cody Parkey,0.8234455330031258,0.030802638723138376
> 3,Dan Bailey,0.8307592478291742,0.03811635354918674
> 3,Daniel Carlson,0.7940211941798528,0.0013782998998653762
> 3,Dustin Hopkins,0.7928890131768727,0.0002461188968851946
> 3,Graham Gano,0.7534301996231079,-0.0392126946568796
> 3,Greg Zuerlein,0.8060028173706748,0.013359923090687342
> 3,Harrison Butker,0.8323267347672406,0.03968384048725315
> 3,Jake Elliott,0.6529408301177778,-0.13970206416220965
> 3,Jason Myers,0.7952794509905355,0.002636556710548077
> 3,Jason Sanders,0.7107473965734243,-0.08189549770656313
> 3,Joey Slye,0.7470146976411343,-0.0456281966388532
> 3,Josh Lambo,0.775619258483251,-0.01702363579673649
> 3,Justin Tucker,0.7878385242578145,-0.004804370022172932
> 3,Ka'imi Fairbairn,0.7701119170302436,-0.022530977249743844
> 3,Mason Crosby,0.8025604751374986,0.009917580857511155
> 3,Matt Bryant,0.8160744607448578,0.023431566464870324
> 3,Matt Gay,0.7555115275523242,-0.03713136672766326
> 3,Matt Prater,0.8086575388908386,0.016014644610851114
> 3,Michael Badgley,0.8135525427366558,0.020909648456668317
> 3,Nick Folk,0.768460176885128,-0.024182717394859443
> 3,Randy Bullock,0.7646063942658273,-0.028036500014160137
> 3,Robbie Gould,0.8194663204528667,0.02682342617287925
> 3,Rodrigo Blankenship,0.8013548344373703,0.008711940157382858
> 3,Ryan Succop,0.8862714830197786,0.09362858873979119
> 3,Sam Ficken,0.766795107951531,-0.025847786328456412
> 3,Stephen Gostkowski,0.7853313399397809,-0.007311554340206583
> 3,Stephen Hauschka,0.7929224232832591,0.0002795290032716613
> 3,Tyler Bass,0.7392539759476979,-0.05338891833228954
> 3,Wil Lutz,0.8358406352996827,0.0431977410196952
> 3,Younghoe Koo,0.8362658137366885,0.04362291945670105
> 3,Zane Gonzalez,0.8472474594910939,0.05460456521110646
