Kick Category,Name,Score,KER
< 25,Adam Vinatieri,0.9173681259155273,-0.05660990099041496
< 25,Aldrick Rosas,0.9806786676247915,0.006700640718849238
< 25,Austin Seibert,0.9688521921634674,-0.005125834742474855
< 25,Brandon McManus,0.9798567146062851,0.005878687700342833
< 25,Brett Maher,0.9819293022155762,0.00795127530963391
< 25,Cairo Santos,0.9778788685798645,0.0039008416739222396
< 25,Chris Boswell,0.9707396507263184,-0.0032383761796238586
< 25,Cody Parkey,0.9708525339762369,-0.0031254929297053202
< 25,Dan Bailey,0.9746039390563965,0.0006259121504542664
< 25,Daniel Carlson,0.9826490112713405,0.00867098436539826
< 25,Dustin Hopkins,0.9786565559250968,0.004678529019154554
< 25,Graham Gano,0.9846351742744446,0.010657147368502318
< 25,Greg Zuerlein,0.9757452423755939,0.0017672154696516396
< 25,Harrison Butker,0.9772376663544599,0.003259639448517593
< 25,Jake Elliott,0.9770328005154928,0.003054773609550532
< 25,Jason Myers,0.9702901244163513,-0.003687902489590944
< 25,Jason Sanders,0.9647626876831055,-0.009215339222836794
< 25,Joey Slye,0.982524573802948,0.008546546897005736
< 25,Josh Lambo,0.9814716747828892,0.007493647876946952
< 25,Justin Tucker,0.9773664573828379,0.003388430476895632
< 25,Ka'imi Fairbairn,0.97854914448478,0.004571117578837769
< 25,Mason Crosby,0.9672216773033142,-0.006756349602628053
< 25,Matt Bryant,0.9459166924158732,-0.02806133449006909
< 25,Matt Gay,0.985863447189331,0.011885420283388792
< 25,Matt Prater,0.9492942273616791,-0.02468379954426314
< 25,Michael Badgley,0.9835541099309921,0.009576083025049864
< 25,Nick Folk,0.9683616076196943,-0.005616419286248009
< 25,Randy Bullock,0.9773631493250529,0.0033851224191105977
< 25,Robbie Gould,0.9592835009098053,-0.014694525996136965
< 25,Rodrigo Blankenship,0.9798674941062927,0.00588946720035044
< 25,Ryan Succop,0.9654748439788818,-0.008503182927060426
< 25,Sam Ficken,0.9681301712989807,-0.0058478556069615495
< 25,Stephen Gostkowski,0.9502221005303519,-0.02375592637559032
< 25,Stephen Hauschka,0.9656832575798034,-0.008294769326138818
< 25,Tyler Bass,0.9670063058535258,-0.006971721052416502
< 25,Wil Lutz,0.9805842108196683,0.006606183913726027
< 25,Younghoe Koo,0.9723889032999674,-0.0015891236059748515
< 25,Zane Gonzalez,0.9777032136917114,0.0037251867857691634
25-29,Adam Vinatieri,0.8936644673347474,-0.054480094728414086
25-29,Aldrick Rosas,0.9633052746454874,0.015160712582325986
25-29,Austin Seibert,0.9498303731282552,0.0016858110650938007
25-29,Brandon McManus,0.9575865715742111,0.009442009511049676
25-29,Brett Maher,0.9539336051259723,0.005789043062810806
25-29,Cairo Santos,0.9547051548957824,0.006560592832621004
25-29,Chris Boswell,0.9610719382762909,0.012927376213129449
25-29,Cody Parkey,0.9642926454544067,0.016148083391245294
25-29,Dan Bailey,0.9585025429725647,0.010357980909403208
25-29,Daniel Carlson,0.9414819616537827,-0.006662600409378716
25-29,Dustin Hopkins,0.9650316888635809,0.016887126800419483
25-29,Graham Gano,0.9606114029884338,0.012466840925272393
25-29,Greg Zuerlein,0.9477481742699941,-0.00039638779316730766
25-29,Harrison Butker,0.9437388181686401,-0.004405743894521308
25-29,Jake Elliott,0.9599397136614873,0.011795151598325893
25-29,Jason Myers,0.9420532782872518,-0.006091283775909617
25-29,Jason Sanders,0.9572469683793875,0.009102406316226053
25-29,Joey Slye,0.9454041378838676,-0.0027404241792938766
25-29,Josh Lambo,0.941294826567173,-0.0068497354959884404
25-29,Justin Tucker,0.9533858895301819,0.00524132746702044
25-29,Ka'imi Fairbairn,0.9652288464399484,0.017084284376786996
25-29,Mason Crosby,0.9543695569038391,0.006224994840677622
25-29,Matt Bryant,0.9255054891109467,-0.02263907295221479
25-29,Matt Gay,0.9302803575992584,-0.017864204463903022
25-29,Matt Prater,0.9228236170915457,-0.025320944971615744
25-29,Michael Badgley,0.9422187407811483,-0.005925821282013133
25-29,Nick Folk,0.9783278703689575,0.030183308305796075
25-29,Randy Bullock,0.9601454564503261,0.012000894387164673
25-29,Robbie Gould,0.9077407187885709,-0.04040384327459057
25-29,Rodrigo Blankenship,0.9404665231704712,-0.007678038892690253
25-29,Ryan Succop,0.939976716041565,-0.008167846021596481
25-29,Sam Ficken,0.966898250579834,0.018753688516672584
25-29,Stephen Gostkowski,0.9308383241295815,-0.017306237933579993
25-29,Stephen Hauschka,0.9679894894361496,0.019844927372988153
25-29,Tyler Bass,0.9335538943608602,-0.014590667702301219
25-29,Wil Lutz,0.9609849254290262,0.012840363365864804
25-29,Younghoe Koo,0.9463589058982002,-0.0017856561649612912
25-29,Zane Gonzalez,0.9576429724693298,0.00949841040616839
30-39,Adam Vinatieri,0.7965862900018692,-0.07523402548025526
30-39,Aldrick Rosas,0.9092731507200944,0.03745283523796994
30-39,Austin Seibert,0.8779479215542475,0.006127606072123037
30-39,Brandon McManus,0.9019701778888702,0.030149862406745775
30-39,Brett Maher,0.9159330299922398,0.044112714510115336
30-39,Cairo Santos,0.8507065309418572,-0.021113784540267244
30-39,Chris Boswell,0.9201049710574903,0.048284655575365876
30-39,Cody Parkey,0.8896221773965018,0.01780186191437738
30-39,Dan Bailey,0.8806095446149508,0.008789229132826315
30-39,Daniel Carlson,0.879131770796246,0.007311455314121584
30-39,Dustin Hopkins,0.8934855875761613,0.02166527209403679
30-39,Graham Gano,0.9038579728868272,0.03203765740470277
30-39,Greg Zuerlein,0.8988986487189928,0.027078333236868368
