Score Category,Score,Median,Std
< -3 ,0.7840846868279653,0.8371139764785767,0.17971295074935364
-3 - 3,0.7905513757418985,0.8359812498092651,0.172744004957654
> 3,0.7944854047779514,0.8435635268688202,0.1614132419817067
