Kick Category,Name,Score,ClutchScore
< 20,Adam Vinatieri,0.9663107761969933,0.0
< 20,Aldrick Rosas,0.9663107761969933,0.0
< 20,Austin Seibert,0.9663107761969933,0.0
< 20,Brandon McManus,0.9663107761969933,0.0
< 20,Brett Maher,0.9663107761969933,0.0
< 20,Cairo Santos,0.9679006934165955,0.0015899172196021105
< 20,Chris Boswell,0.9663107761969933,0.0
< 20,Cody Parkey,0.9663107761969933,0.0
< 20,Dan Bailey,0.9663107761969933,0.0
< 20,Daniel Carlson,0.9663107761969933,0.0
< 20,Dustin Hopkins,0.9663107761969933,0.0
< 20,Graham Gano,0.9663107761969933,0.0
< 20,Greg Zuerlein,0.9663107761969933,0.0
< 20,Harrison Butker,0.9831433892250061,0.016832613028012755
< 20,Jake Elliott,0.9663107761969933,0.0
< 20,Jason Myers,0.9663107761969933,0.0
< 20,Jason Sanders,0.9847536087036133,0.018442832506619933
< 20,Joey Slye,0.9663107761969933,0.0
< 20,Josh Lambo,0.9663107761969933,0.0
< 20,Justin Tucker,0.9663107761969933,0.0
< 20,Ka'imi Fairbairn,0.9619990587234497,-0.004311717473543641
< 20,Mason Crosby,0.9710228145122528,0.004712038315259459
< 20,Matt Bryant,0.9663107761969933,0.0
< 20,Matt Gay,0.9663107761969933,0.0
< 20,Matt Prater,0.9663107761969933,0.0
< 20,Michael Badgley,0.9663107761969933,0.0
< 20,Nick Folk,0.958857536315918,-0.00745323988107538
< 20,Randy Bullock,0.9663107761969933,0.0
< 20,Robbie Gould,0.9663107761969933,0.0
< 20,Rodrigo Blankenship,0.9663107761969933,0.0
< 20,Ryan Succop,0.9821028709411621,0.01579209474416876
< 20,Sam Ficken,0.9663107761969933,0.0
< 20,Stephen Gostkowski,0.9663107761969933,0.0
< 20,Stephen Hauschka,0.9663107761969933,0.0
< 20,Tyler Bass,0.9889992475509644,0.022688471353971007
< 20,Wil Lutz,0.9914673566818237,0.025156580484830382
< 20,Younghoe Koo,0.9663107761969933,0.0
< 20,Zane Gonzalez,0.9663107761969933,0.0
20-29,Adam Vinatieri,0.9610169132550558,0.005098773742634122
20-29,Aldrick Rosas,0.9664924224217732,0.010574282909351584
20-29,Austin Seibert,0.9600916981697083,0.004173558657286636
20-29,Brandon McManus,0.9499614499509335,-0.005956689561488204
20-29,Brett Maher,0.9625721197379263,0.006653980225504674
20-29,Cairo Santos,0.9554162800312043,-0.0005018594812173927
