Kick Category,Score,Median,Std
< 25,0.9707772526028318,0.9766190052032471,0.024427876278220947
25-29,0.9487021811175764,0.9547314941883087,0.029921100614927497
30-39,0.8817582743035423,0.8939302563667297,0.06401202796790885
40-49,0.7057576618146837,0.7116389274597168,0.09568958669413571
50+,0.51063983438859,0.5200403928756714,0.1132440477150744
