Kick Category,Name,Score,KER
< 25,Adam Vinatieri,0.9740703940391541,0.003293141436322311
< 25,Aldrick Rosas,0.9467560946941376,-0.02402115790869419
< 25,Austin Seibert,0.951717734336853,-0.019059518265978737
< 25,Brandon McManus,0.9597200155258179,-0.011057237077013893
< 25,Brett Maher,0.9759879827499389,0.0052107301471071565
< 25,Cairo Santos,0.9796999593575796,0.008922706754747822
< 25,Chris Boswell,0.9575253248214721,-0.01325192778135964
< 25,Cody Parkey,0.9601849714914957,-0.010592281111336033
< 25,Dan Bailey,0.9562751114368438,-0.014502141165987914
< 25,Daniel Carlson,0.9533872306346893,-0.017390021968142433
< 25,Dustin Hopkins,0.9572005697659084,-0.01357668283692337
< 25,Graham Gano,0.9877587556838989,0.016981503081067162
< 25,Greg Zuerlein,0.9722044788874112,0.0014272262845794748
< 25,Harrison Butker,0.96356521283879,-0.007212039764041722
< 25,Jake Elliott,0.9770283500353495,0.006251097432517727
< 25,Jason Myers,0.965862226486206,-0.004915026116625754
< 25,Jason Sanders,0.9361325587545123,-0.034644693848319474
< 25,Joey Slye,0.9531415275165013,-0.01763572508633049
< 25,Josh Lambo,0.9336853538240705,-0.03709189877876129
< 25,Justin Tucker,0.9723283996184667,0.0015511470156349683
< 25,Ka'imi Fairbairn,0.9660521041263234,-0.004725148476508401
< 25,Mason Crosby,0.9588693529367447,-0.011907899666087074
< 25,Matt Bryant,0.9692685604095459,-0.0015086921932858655
< 25,Matt Gay,0.9697111447652181,-0.001066107837613628
< 25,Matt Prater,0.9668666779994964,-0.003910574603335326
< 25,Michael Badgley,0.9616085886955261,-0.00916866390730564
< 25,Nick Folk,0.9704933081354413,-0.0002839444673904401
< 25,Randy Bullock,0.9610166615910001,-0.009760591011831687
< 25,Robbie Gould,0.9577702820301056,-0.013006970572726151
< 25,Rodrigo Blankenship,0.9621311664581299,-0.008646086144701859
< 25,Ryan Succop,0.9657898445924123,-0.004987408010419414
< 25,Sam Ficken,0.9628053903579712,-0.007971862244860572
< 25,Stephen Gostkowski,0.9541049940245492,-0.016672258578282584
< 25,Stephen Hauschka,0.9533134937286377,-0.017463758874194046
< 25,Tyler Bass,0.9821807146072388,0.011403462004407006
< 25,Wil Lutz,0.9664185047149658,-0.004358747887865944
< 25,Younghoe Koo,0.9605223834514618,-0.010254869151369972
< 25,Zane Gonzalez,0.9652690341075262,-0.0055082184953055835
25-29,Adam Vinatieri,0.9365619480609894,-0.012140233056587069
25-29,Aldrick Rosas,0.9378750456704034,-0.010827135447173064
25-29,Austin Seibert,0.944758673508962,-0.003943507608614394
25-29,Brandon McManus,0.9329483608404795,-0.01575382027709693
25-29,Brett Maher,0.9369528463908604,-0.01174933472671602
25-29,Cairo Santos,0.9500117421150207,0.0013095609974442812
25-29,Chris Boswell,0.9526093985353198,0.003907217417743358
25-29,Cody Parkey,0.9548255503177643,0.006123369200187856
25-29,Dan Bailey,0.9458897829055786,-0.0028123982119978574
25-29,Daniel Carlson,0.9467867612838745,-0.0019154198337019146
25-29,Dustin Hopkins,0.9425312659957192,-0.00617091512185719
25-29,Graham Gano,0.9675586223602295,0.018856441242653066
25-29,Greg Zuerlein,0.9399264057477316,-0.008775775369844863
25-29,Harrison Butker,0.9429611027240753,-0.005741078393501131
25-29,Jake Elliott,0.9490120777717004,0.0003098966541239534
25-29,Jason Myers,0.9294285774230957,-0.019273603694480723
25-29,Jason Sanders,0.9381370085936326,-0.010565172523943844
25-29,Joey Slye,0.9403309651783535,-0.008371215939222965
25-29,Josh Lambo,0.9429875612258911,-0.005714619891685313
25-29,Justin Tucker,0.927918553352356,-0.02078362776522047
25-29,Ka'imi Fairbairn,0.9402553714238681,-0.008446809693708368
25-29,Mason Crosby,0.9454470038414001,-0.003255177276176302
25-29,Matt Bryant,0.9564822912216187,0.007780110104042226
25-29,Matt Gay,0.9443526118993759,-0.004349569218200511
25-29,Matt Prater,0.9488803560917194,0.0001781749741429639
25-29,Michael Badgley,0.9374098976453146,-0.011292283472261855
25-29,Nick Folk,0.9512162506580353,0.002514069540458852
25-29,Randy Bullock,0.9338073134422302,-0.014894867675346202
25-29,Robbie Gould,0.9285147984822592,-0.020187382635317275
25-29,Rodrigo Blankenship,0.9506794810295105,0.0019772999119340717
25-29,Ryan Succop,0.9444362998008728,-0.004265881316703579
25-29,Sam Ficken,0.9428271889686585,-0.005874992148917957
25-29,Stephen Gostkowski,0.9345460087060928,-0.014156172411483592
25-29,Stephen Hauschka,0.9401755332946777,-0.008526647822898692
25-29,Tyler Bass,0.910243292649587,-0.038458888467989394
25-29,Wil Lutz,0.9422667572895685,-0.00643542382800788
25-29,Younghoe Koo,0.9305510520935059,-0.018151129024070567
25-29,Zane Gonzalez,0.9445889393488566,-0.004113241768719855
30-39,Adam Vinatieri,0.8809496462345123,-0.0008086280690299263
30-39,Aldrick Rosas,0.8927127436587685,0.01095446935522626
30-39,Austin Seibert,0.8768372138341268,-0.004921060469415428
30-39,Brandon McManus,0.8843389719724655,0.0025806976689232153
30-39,Brett Maher,0.8868715252195086,0.005113250915966372
30-39,Cairo Santos,0.8665610584947798,-0.015197215808762432
30-39,Chris Boswell,0.8948086060975727,0.013050331794030479
30-39,Cody Parkey,0.887567652123315,0.005809377819772754
30-39,Dan Bailey,0.8684637149175009,-0.013294559386041405
30-39,Daniel Carlson,0.8871067232555814,0.00534844895203912
30-39,Dustin Hopkins,0.8714199273482613,-0.010338346955280908
30-39,Graham Gano,0.87772136926651,-0.004036905037032246
30-39,Greg Zuerlein,0.8930439750353495,0.011285700731807236
30-39,Harrison Butker,0.8703327253460884,-0.011425548957453846
30-39,Jake Elliott,0.8788921236991882,-0.002866150604354023
30-39,Jason Myers,0.8734846115112305,-0.008273662792311787
30-39,Jason Sanders,0.871799581191119,-0.009958693112423256
30-39,Joey Slye,0.8554884046316147,-0.02626986967192757
30-39,Josh Lambo,0.8707734907374662,-0.010984783566076017
30-39,Justin Tucker,0.887411835193634,0.0056535608900917245
30-39,Ka'imi Fairbairn,0.8895995211601258,0.007841246856583495
30-39,Mason Crosby,0.8781499266624451,-0.003608347641097187
30-39,Matt Bryant,0.8728813595241971,-0.008876914779345157
30-39,Matt Gay,0.8897756040096283,0.00801732970608604
30-39,Matt Prater,0.8714530297688076,-0.010305244534734692
30-39,Michael Badgley,0.9000482310851415,0.01828995678159928
30-39,Nick Folk,0.854646643002828,-0.027111631300714256
30-39,Randy Bullock,0.8686412391455277,-0.013117035158014545
30-39,Robbie Gould,0.888409527639548,0.006651253336005691
30-39,Rodrigo Blankenship,0.8784134924411774,-0.003344781862364865
30-39,Ryan Succop,0.8778820946103051,-0.0038761796932371695
30-39,Sam Ficken,0.8740333957331521,-0.00772487857039017
30-39,Stephen Gostkowski,0.8658875437343821,-0.015870730569160107
30-39,Stephen Hauschka,0.8697143495082855,-0.012043924795256733
30-39,Tyler Bass,0.8564018160104752,-0.025356458293067097
30-39,Wil Lutz,0.88260717689991,0.0008489025963677177
30-39,Younghoe Koo,0.8669451773166656,-0.014813096986876606
30-39,Zane Gonzalez,0.8999933986102834,0.018235124306741124
40-49,Adam Vinatieri,0.709140885959972,0.003383224145288355
40-49,Aldrick Rosas,0.7375348342789544,0.0317771724642707
40-49,Austin Seibert,0.67697788136346,-0.028779780451223647
40-49,Brandon McManus,0.721831910610199,0.016074248795515333
40-49,Brett Maher,0.6941979573323176,-0.011559704482366095
40-49,Cairo Santos,0.7268387317657471,0.021081069951063403
40-49,Chris Boswell,0.6995339781045914,-0.006223683710092298
40-49,Cody Parkey,0.7089272905950961,0.0031696287804123813
40-49,Dan Bailey,0.6878816783428192,-0.017875983471864476
40-49,Daniel Carlson,0.7039995837211609,-0.0017580780935227969
40-49,Dustin Hopkins,0.7033342348806786,-0.002423426934005102
40-49,Graham Gano,0.6959123565600469,-0.009845305254636783
40-49,Greg Zuerlein,0.6969218594687325,-0.00883580234595116
40-49,Harrison Butker,0.7162257458852685,0.01046808407058486
40-49,Jake Elliott,0.6865410980056313,-0.019216563809052345
40-49,Jason Myers,0.7175643046696981,0.011806642855014426
40-49,Jason Sanders,0.6761272816822447,-0.029630380132439016
40-49,Joey Slye,0.6872022350629171,-0.01855542675176658
40-49,Josh Lambo,0.7094765993265005,0.0037189375118168444
40-49,Justin Tucker,0.6902703429971423,-0.015487318817541396
40-49,Ka'imi Fairbairn,0.7018825986555645,-0.0038750631591192297
40-49,Mason Crosby,0.738446163094562,0.032688501279878324
40-49,Matt Bryant,0.6952920615673065,-0.010465600247377194
40-49,Matt Gay,0.7254051342606544,0.01964747244597076
40-49,Matt Prater,0.7065426644526029,0.0007850026379192521
40-49,Michael Badgley,0.7313895523548126,0.025631890540128932
40-49,Nick Folk,0.7087895433108012,0.00303188149611755
40-49,Randy Bullock,0.6900999064628894,-0.015657755351794256
40-49,Robbie Gould,0.7196545749902725,0.013896913175588832
40-49,Rodrigo Blankenship,0.758524888753891,0.05276722693920732
40-49,Ryan Succop,0.7310081157419417,0.025250453927258
40-49,Sam Ficken,0.6904875099658966,-0.015270151848787106
40-49,Stephen Gostkowski,0.7145356728750116,0.00877801106032794
40-49,Stephen Hauschka,0.7047523715916801,-0.001005290223003552
40-49,Tyler Bass,0.6820469668933323,-0.02371069492135136
40-49,Wil Lutz,0.734039893373847,0.028282231559163318
40-49,Younghoe Koo,0.7075912448076102,0.0018335829929264635
40-49,Zane Gonzalez,0.6852745978455794,-0.020483063969104265
50+,Adam Vinatieri,0.5094722410043081,-0.0011675933842818509
50+,Aldrick Rosas,0.5386233362886641,0.027983501900074148
50+,Austin Seibert,0.49594757954279584,-0.014692254845794117
50+,Brandon McManus,0.5370826252869197,0.026442790898329793
50+,Brett Maher,0.5134980593408857,0.002858224952295707
50+,Cairo Santos,0.5624270737171173,0.05178723932852736
50+,Chris Boswell,0.5242621153593063,0.013622280970716383
50+,Cody Parkey,0.6348576148351034,0.12421778044651344
50+,Dan Bailey,0.5668557385603586,0.056215904171768694
50+,Daniel Carlson,0.5923717362540108,0.0817319018654209
50+,Dustin Hopkins,0.5288101678544824,0.018170333465892474
50+,Graham Gano,0.5466719099453518,0.0360320755567618
50+,Greg Zuerlein,0.5214678610072416,0.010828026618651676
50+,Harrison Butker,0.4957464516162872,-0.014893382772302732
50+,Jake Elliott,0.5449987798929214,0.034358945504331495
50+,Jason Myers,0.48568370125510474,-0.024956133133485214
50+,Jason Sanders,0.5311798980602851,0.02054006367169514
50+,Joey Slye,0.5320168481423304,0.02137701375374046
50+,Josh Lambo,0.5221581935882569,0.011518359199666928
50+,Justin Tucker,0.49341914554437,-0.017220688844219956
50+,Ka'imi Fairbairn,0.55541712641716,0.04477729202857006
50+,Mason Crosby,0.5586430331071218,0.04800319871853187
50+,Matt Bryant,0.5431622684001922,0.032522434011602264
50+,Matt Gay,0.5217410027980804,0.011101168409490492
50+,Matt Prater,0.526772012313207,0.016132177924617075
50+,Michael Badgley,0.5082995295524597,-0.002340304836130236
50+,Nick Folk,0.5734968930482864,0.06285705865969649
50+,Randy Bullock,0.5338579912980398,0.02321815690944984
50+,Robbie Gould,0.5446515811814202,0.034011746792830255
50+,Rodrigo Blankenship,0.5193264782428741,0.008686643854284193
50+,Ryan Succop,0.5287710030873617,0.018131168698771738
50+,Sam Ficken,0.4922457720552172,-0.018394062333372763
50+,Stephen Gostkowski,0.5656217955625974,0.05498196117400744
50+,Stephen Hauschka,0.5233593691479076,0.012719534759317641
50+,Tyler Bass,0.5001979966958364,-0.01044183769275353
50+,Wil Lutz,0.5310222953557968,0.02038246096720686
50+,Younghoe Koo,0.5558531497206006,0.04521331533201067
50+,Zane Gonzalez,0.5196805000305176,0.009040665641927625
